"type","address","amount","date","time"
"BOND","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",1e-18,"2018-06-26T20:50:31.000Z",1530046231
"BOND","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",1,"2018-06-27T01:04:20.000Z",1530061460
"BOND","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",10,"2018-06-27T01:13:44.000Z",1530062024
"BOND","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",4685,"2018-06-27T01:26:06.000Z",1530062766
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",58.55307728230732,"2018-06-27T14:33:25.000Z",1530110005
"BOND","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",1700,"2018-06-27T14:49:02.000Z",1530110942
"BOND","0x40630b4fd61523450b3dbc4d9fd672aae0a9c31c",200,"2018-06-28T12:06:00.000Z",1530187560
"BOND","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",476,"2018-06-28T18:11:00.000Z",1530209460
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",81.3811400463016,"2018-06-28T18:13:02.000Z",1530209582
"BOND","0x1a8659be25a36c6e34c093d772e343fb6b8f2f08",1267.4979419710808,"2018-06-29T13:10:23.000Z",1530277823
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",102.594130948224,"2018-06-29T14:45:57.000Z",1530283557
"BOND","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",359,"2018-06-29T14:49:57.000Z",1530283797
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",106.20120358363653,"2018-06-30T17:17:10.000Z",1530379030
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",107.25662279132891,"2018-07-01T18:02:43.000Z",1530468163
"BOND","0xde2ae0ca824539b1d95b38bae4bc3d3ea9800385",2.441696,"2018-07-02T00:00:09.000Z",1530489609
